domainname,wallet,bid,blind
dwiEnid,reppy,0.00,0.04
Eniddwi,reppy,0.00,0.04
dwiHugo,reppy,0.00,0.04
Hugodwi,reppy,0.00,0.04
dwiBend,reppy,0.00,0.04
Benddwi,reppy,0.00,0.04
dwiErie,reppy,0.00,0.04
Eriedwi,reppy,0.00,0.04
dwiLead,reppy,0.00,0.04
Leaddwi,reppy,0.00,0.04
dwiWaco,reppy,0.00,0.04
Wacodwi,reppy,0.00,0.04
dwiUtah,reppy,0.00,0.04
Utahdwi,reppy,0.00,0.04
dwiAlta,reppy,0.00,0.04
Altadwi,reppy,0.00,0.04
dwiLehi,reppy,0.00,0.04
Lehidwi,reppy,0.00,0.04
dwiMoab,reppy,0.00,0.04
Moabdwi,reppy,0.00,0.04
dwiOrem,reppy,0.00,0.04
Oremdwi,reppy,0.00,0.04
dwiCody,reppy,0.00,0.04
Codydwi,reppy,0.00,0.04
duiTroy,reppy,0.00,0.04
Troydui,reppy,0.00,0.04
duiNome,reppy,0.00,0.04
Nomedui,reppy,0.00,0.04
duiMesa,reppy,0.00,0.04
Mesadui,reppy,0.00,0.04
duiYuma,reppy,0.00,0.04
Yumadui,reppy,0.00,0.04
duiHope,reppy,0.00,0.04
Hopedui,reppy,0.00,0.04
duiBrea,reppy,0.00,0.04
Breadui,reppy,0.00,0.04
duiLodi,reppy,0.00,0.04
Lodidui,reppy,0.00,0.04
duiNapa,reppy,0.00,0.04
Napadui,reppy,0.00,0.04
duiOjai,reppy,0.00,0.04
Ojaidui,reppy,0.00,0.04
duiVail,reppy,0.00,0.04
Vaildui,reppy,0.00,0.04
duiRome,reppy,0.00,0.04
Romedui,reppy,0.00,0.04
duiHilo,reppy,0.00,0.04
Hilodui,reppy,0.00,0.04
duiLaie,reppy,0.00,0.04
Laiedui,reppy,0.00,0.04
duiZion,reppy,0.00,0.04
Ziondui,reppy,0.00,0.04
duiGary,reppy,0.00,0.04
Garydui,reppy,0.00,0.04
duiPeru,reppy,0.00,0.04
Perudui,reppy,0.00,0.04
duiIowa,reppy,0.00,0.04
Iowadui,reppy,0.00,0.04
duiAmes,reppy,0.00,0.04
Amesdui,reppy,0.00,0.04
duiHays,reppy,0.00,0.04
Haysdui,reppy,0.00,0.04
duiBath,reppy,0.00,0.04
Bathdui,reppy,0.00,0.04
duiSaco,reppy,0.00,0.04
Sacodui,reppy,0.00,0.04
duiYork,reppy,0.00,0.04
Yorkdui,reppy,0.00,0.04
duiLynn,reppy,0.00,0.04
Lynndui,reppy,0.00,0.04
duiAlma,reppy,0.00,0.04
Almadui,reppy,0.00,0.04
duiElko,reppy,0.00,0.04
Elkodui,reppy,0.00,0.04
duiReno,reppy,0.00,0.04
Renodui,reppy,0.00,0.04
duiTaos,reppy,0.00,0.04
Taosdui,reppy,0.00,0.04
duiOhio,reppy,0.00,0.04
Ohiodui,reppy,0.00,0.04
duiKent,reppy,0.00,0.04
Kentdui,reppy,0.00,0.04
duiLima,reppy,0.00,0.04
Limadui,reppy,0.00,0.04
duiAlva,reppy,0.00,0.04
Alvadui,reppy,0.00,0.04
duiEnid,reppy,0.00,0.04
Eniddui,reppy,0.00,0.04
duiHugo,reppy,0.00,0.04
Hugodui,reppy,0.00,0.04
duiBend,reppy,0.00,0.04
Benddui,reppy,0.00,0.04
duiErie,reppy,0.00,0.04
Eriedui,reppy,0.00,0.04
duiLead,reppy,0.00,0.04
Leaddui,reppy,0.00,0.04
duiWaco,reppy,0.00,0.04
Wacodui,reppy,0.00,0.04
duiUtah,reppy,0.00,0.04
Utahdui,reppy,0.00,0.04
duiAlta,reppy,0.00,0.04
Altadui,reppy,0.00,0.04
duiLehi,reppy,0.00,0.04
Lehidui,reppy,0.00,0.04
duiMoab,reppy,0.00,0.04
Moabdui,reppy,0.00,0.04
duiOrem,reppy,0.00,0.04
Oremdui,reppy,0.00,0.04
duiCody,reppy,0.00,0.04
Codydui,reppy,0.00,0.04
ElMonte,reppy,0.00,0.04
LaHabra,reppy,0.00,0.04
SanJose,reppy,0.00,0.04
LaJunta,reppy,0.00,0.04
KeyWest,reppy,0.00,0.04
PalmBay,reppy,0.00,0.04
LaSalle,reppy,0.00,0.04
OakPark,reppy,0.00,0.04
BayCity,reppy,0.00,0.04
RedWing,reppy,0.00,0.04
CapeMay,reppy,0.00,0.04
FortLee,reppy,0.00,0.04
SantaFe,reppy,0.00,0.04
NewBern,reppy,0.00,0.04
ElkCity,reppy,0.00,0.04
CoosBay,reppy,0.00,0.04
JohnDay,reppy,0.00,0.04
NewHope,reppy,0.00,0.04
OilCity,reppy,0.00,0.04
dwiOzark,reppy,0.00,0.04
Ozarkdwi,reppy,0.00,0.04
dwiSelma,reppy,0.00,0.04
Selmadwi,reppy,0.00,0.04
dwiHomer,reppy,0.00,0.04
Homerdwi,reppy,0.00,0.04
dwiSitka,reppy,0.00,0.04
Sitkadwi,reppy,0.00,0.04
dwiGlobe,reppy,0.00,0.04
Globedwi,reppy,0.00,0.04
dwiTempe,reppy,0.00,0.04
Tempedwi,reppy,0.00,0.04
dwiWalpi,reppy,0.00,0.04
Walpidwi,reppy,0.00,0.04
dwiChico,reppy,0.00,0.04
Chicodwi,reppy,0.00,0.04
dwiDavis,reppy,0.00,0.04
Davisdwi,reppy,0.00,0.04
dwiIndio,reppy,0.00,0.04
Indiodwi,reppy,0.00,0.04
dwiUkiah,reppy,0.00,0.04
Ukiahdwi,reppy,0.00,0.04
dwiWatts,reppy,0.00,0.04
Wattsdwi,reppy,0.00,0.04
dwiAspen,reppy,0.00,0.04
Aspendwi,reppy,0.00,0.04
dwiOuray,reppy,0.00,0.04
Ouraydwi,reppy,0.00,0.04
dwiDerby,reppy,0.00,0.04
Derbydwi,reppy,0.00,0.04
dwiDover,reppy,0.00,0.04
Doverdwi,reppy,0.00,0.04
dwiLewes,reppy,0.00,0.04
Lewesdwi,reppy,0.00,0.04
dwiLargo,reppy,0.00,0.04
Largodwi,reppy,0.00,0.04
dwiMiami,reppy,0.00,0.04
Miamidwi,reppy,0.00,0.04
dwiOcala,reppy,0.00,0.04
Ocaladwi,reppy,0.00,0.04
dwiTampa,reppy,0.00,0.04
Tampadwi,reppy,0.00,0.04
dwiMacon,reppy,0.00,0.04
Macondwi,reppy,0.00,0.04
dwiKapaa,reppy,0.00,0.04
Kapaadwi,reppy,0.00,0.04
dwiIdaho,reppy,0.00,0.04
Idahodwi,reppy,0.00,0.04
dwiBoise,reppy,0.00,0.04
Boisedwi,reppy,0.00,0.04
dwiNampa,reppy,0.00,0.04
Nampadwi,reppy,0.00,0.04
dwiAlton,reppy,0.00,0.04
Altondwi,reppy,0.00,0.04
dwiCairo,reppy,0.00,0.04
Cairodwi,reppy,0.00,0.04
dwiDixon,reppy,0.00,0.04
Dixondwi,reppy,0.00,0.04
dwiElgin,reppy,0.00,0.04
Elgindwi,reppy,0.00,0.04
dwiLisle,reppy,0.00,0.04
Lisledwi,reppy,0.00,0.04
dwiPekin,reppy,0.00,0.04
Pekindwi,reppy,0.00,0.04
dwiSalem,reppy,0.00,0.04
Salemdwi,reppy,0.00,0.04
dwiBoone,reppy,0.00,0.04
Boonedwi,reppy,0.00,0.04
dwiBerea,reppy,0.00,0.04
Bereadwi,reppy,0.00,0.04
dwiParis,reppy,0.00,0.04
Parisdwi,reppy,0.00,0.04
dwiHouma,reppy,0.00,0.04
Houmadwi,reppy,0.00,0.04
dwiMaine,reppy,0.00,0.04
Mainedwi,reppy,0.00,0.04
dwiLubec,reppy,0.00,0.04
Lubecdwi,reppy,0.00,0.04
dwiOrono,reppy,0.00,0.04
Oronodwi,reppy,0.00,0.04
dwiBowie,reppy,0.00,0.04
Bowiedwi,reppy,0.00,0.04
dwiAdams,reppy,0.00,0.04
Adamsdwi,reppy,0.00,0.04
dwiAthol,reppy,0.00,0.04
Atholdwi,reppy,0.00,0.04
dwiLenox,reppy,0.00,0.04
Lenoxdwi,reppy,0.00,0.04
dwiTruro,reppy,0.00,0.04
Trurodwi,reppy,0.00,0.04
dwiFlint,reppy,0.00,0.04
Flintdwi,reppy,0.00,0.04
dwiNiles,reppy,0.00,0.04
Nilesdwi,reppy,0.00,0.04
dwiLamar,reppy,0.00,0.04
Lamardwi,reppy,0.00,0.04
dwiRolla,reppy,0.00,0.04
Rolladwi,reppy,0.00,0.04
dwiButte,reppy,0.00,0.04
Buttedwi,reppy,0.00,0.04
dwiHavre,reppy,0.00,0.04
Havredwi,reppy,0.00,0.04
dwiOmaha,reppy,0.00,0.04
Omahadwi,reppy,0.00,0.04
dwiGenoa,reppy,0.00,0.04
Genoadwi,reppy,0.00,0.04
dwiDerry,reppy,0.00,0.04
Derrydwi,reppy,0.00,0.04
dwiKeene,reppy,0.00,0.04
Keenedwi,reppy,0.00,0.04
dwiUnion,reppy,0.00,0.04
Uniondwi,reppy,0.00,0.04
dwiWayne,reppy,0.00,0.04
Waynedwi,reppy,0.00,0.04
dwiAcoma,reppy,0.00,0.04
Acomadwi,reppy,0.00,0.04
dwiBelen,reppy,0.00,0.04
Belendwi,reppy,0.00,0.04
dwiHobbs,reppy,0.00,0.04
Hobbsdwi,reppy,0.00,0.04
dwiRaton,reppy,0.00,0.04
Ratondwi,reppy,0.00,0.04
dwiBronx,reppy,0.00,0.04
Bronxdwi,reppy,0.00,0.04
dwiIlion,reppy,0.00,0.04
Iliondwi,reppy,0.00,0.04
dwiNyack,reppy,0.00,0.04
Nyackdwi,reppy,0.00,0.04
dwiOlean,reppy,0.00,0.04
Oleandwi,reppy,0.00,0.04
dwiUtica,reppy,0.00,0.04
Uticadwi,reppy,0.00,0.04
dwiFargo,reppy,0.00,0.04
Fargodwi,reppy,0.00,0.04
dwiMinot,reppy,0.00,0.04
Minotdwi,reppy,0.00,0.04
dwiRugby,reppy,0.00,0.04
Rugbydwi,reppy,0.00,0.04
dwiAkron,reppy,0.00,0.04
Akrondwi,reppy,0.00,0.04
dwiMilan,reppy,0.00,0.04
Milandwi,reppy,0.00,0.04
dwiParma,reppy,0.00,0.04
Parmadwi,reppy,0.00,0.04
dwiPiqua,reppy,0.00,0.04
Piquadwi,reppy,0.00,0.04
dwiXenia,reppy,0.00,0.04
Xeniadwi,reppy,0.00,0.04
dwiAltus,reppy,0.00,0.04
Altusdwi,reppy,0.00,0.04
dwiMoore,reppy,0.00,0.04
Mooredwi,reppy,0.00,0.04
dwiPerry,reppy,0.00,0.04
Perrydwi,reppy,0.00,0.04
dwiPryor,reppy,0.00,0.04
Pryordwi,reppy,0.00,0.04
dwiTulsa,reppy,0.00,0.04
Tulsadwi,reppy,0.00,0.04
dwiBurns,reppy,0.00,0.04
Burnsdwi,reppy,0.00,0.04
dwiAiken,reppy,0.00,0.04
Aikendwi,reppy,0.00,0.04
dwiHuron,reppy,0.00,0.04
Hurondwi,reppy,0.00,0.04
dwiAlcoa,reppy,0.00,0.04
Alcoadwi,reppy,0.00,0.04
dwiTexas,reppy,0.00,0.04
Texasdwi,reppy,0.00,0.04
dwiBryan,reppy,0.00,0.04
Bryandwi,reppy,0.00,0.04
dwiPampa,reppy,0.00,0.04
Pampadwi,reppy,0.00,0.04
dwiPecos,reppy,0.00,0.04
Pecosdwi,reppy,0.00,0.04
dwiPharr,reppy,0.00,0.04
Pharrdwi,reppy,0.00,0.04
dwiPlano,reppy,0.00,0.04
Planodwi,reppy,0.00,0.04
dwiTyler,reppy,0.00,0.04
Tylerdwi,reppy,0.00,0.04
dwiDelta,reppy,0.00,0.04
Deltadwi,reppy,0.00,0.04
dwiKanab,reppy,0.00,0.04
Kanabdwi,reppy,0.00,0.04
dwiLogan,reppy,0.00,0.04
Logandwi,reppy,0.00,0.04
dwiManti,reppy,0.00,0.04
Mantidwi,reppy,0.00,0.04
dwiNephi,reppy,0.00,0.04
Nephidwi,reppy,0.00,0.04
dwiOgden,reppy,0.00,0.04
Ogdendwi,reppy,0.00,0.04
dwiPrice,reppy,0.00,0.04
Pricedwi,reppy,0.00,0.04
dwiProvo,reppy,0.00,0.04
Provodwi,reppy,0.00,0.04
dwiBarre,reppy,0.00,0.04
Barredwi,reppy,0.00,0.04
dwiEssex,reppy,0.00,0.04
Essexdwi,reppy,0.00,0.04
dwiKelso,reppy,0.00,0.04
Kelsodwi,reppy,0.00,0.04
dwiPasco,reppy,0.00,0.04
Pascodwi,reppy,0.00,0.04
dwiWelch,reppy,0.00,0.04
Welchdwi,reppy,0.00,0.04
dwiRipon,reppy,0.00,0.04
Ripondwi,reppy,0.00,0.04
duiOzark,reppy,0.00,0.04
Ozarkdui,reppy,0.00,0.04
duiSelma,reppy,0.00,0.04
Selmadui,reppy,0.00,0.04
duiHomer,reppy,0.00,0.04
Homerdui,reppy,0.00,0.04
duiSitka,reppy,0.00,0.04
Sitkadui,reppy,0.00,0.04
duiGlobe,reppy,0.00,0.04
Globedui,reppy,0.00,0.04
duiTempe,reppy,0.00,0.04
Tempedui,reppy,0.00,0.04
duiWalpi,reppy,0.00,0.04
Walpidui,reppy,0.00,0.04
duiChico,reppy,0.00,0.04
Chicodui,reppy,0.00,0.04
duiDavis,reppy,0.00,0.04
Davisdui,reppy,0.00,0.04
duiIndio,reppy,0.00,0.04
Indiodui,reppy,0.00,0.04
duiUkiah,reppy,0.00,0.04
Ukiahdui,reppy,0.00,0.04
duiWatts,reppy,0.00,0.04
Wattsdui,reppy,0.00,0.04
duiAspen,reppy,0.00,0.04
Aspendui,reppy,0.00,0.04
duiOuray,reppy,0.00,0.04
Ouraydui,reppy,0.00,0.04
duiDerby,reppy,0.00,0.04
Derbydui,reppy,0.00,0.04
duiDover,reppy,0.00,0.04
Doverdui,reppy,0.00,0.04
duiLewes,reppy,0.00,0.04
Lewesdui,reppy,0.00,0.04
duiLargo,reppy,0.00,0.04
Largodui,reppy,0.00,0.04
duiMiami,reppy,0.00,0.04
Miamidui,reppy,0.00,0.04
duiOcala,reppy,0.00,0.04
Ocaladui,reppy,0.00,0.04
duiTampa,reppy,0.00,0.04
Tampadui,reppy,0.00,0.04
duiMacon,reppy,0.00,0.04
Macondui,reppy,0.00,0.04
duiKapaa,reppy,0.00,0.04
Kapaadui,reppy,0.00,0.04
duiIdaho,reppy,0.00,0.04
Idahodui,reppy,0.00,0.04
duiBoise,reppy,0.00,0.04
Boisedui,reppy,0.00,0.04
duiNampa,reppy,0.00,0.04
Nampadui,reppy,0.00,0.04
duiAlton,reppy,0.00,0.04
Altondui,reppy,0.00,0.04
duiCairo,reppy,0.00,0.04
Cairodui,reppy,0.00,0.04
duiDixon,reppy,0.00,0.04
Dixondui,reppy,0.00,0.04
duiElgin,reppy,0.00,0.04
Elgindui,reppy,0.00,0.04
duiLisle,reppy,0.00,0.04
Lisledui,reppy,0.00,0.04
duiPekin,reppy,0.00,0.04
Pekindui,reppy,0.00,0.04
duiSalem,reppy,0.00,0.04
Salemdui,reppy,0.00,0.04
duiBoone,reppy,0.00,0.04
Boonedui,reppy,0.00,0.04
duiBerea,reppy,0.00,0.04
Bereadui,reppy,0.00,0.04
duiParis,reppy,0.00,0.04
Parisdui,reppy,0.00,0.04
duiHouma,reppy,0.00,0.04
Houmadui,reppy,0.00,0.04
duiMaine,reppy,0.00,0.04
Mainedui,reppy,0.00,0.04
duiLubec,reppy,0.00,0.04
Lubecdui,reppy,0.00,0.04
duiOrono,reppy,0.00,0.04
Oronodui,reppy,0.00,0.04
duiBowie,reppy,0.00,0.04
Bowiedui,reppy,0.00,0.04
duiAdams,reppy,0.00,0.04
Adamsdui,reppy,0.00,0.04
duiAthol,reppy,0.00,0.04
Atholdui,reppy,0.00,0.04
duiLenox,reppy,0.00,0.04
Lenoxdui,reppy,0.00,0.04
duiTruro,reppy,0.00,0.04
Trurodui,reppy,0.00,0.04
duiFlint,reppy,0.00,0.04
Flintdui,reppy,0.00,0.04
duiNiles,reppy,0.00,0.04
Nilesdui,reppy,0.00,0.04
duiLamar,reppy,0.00,0.04
Lamardui,reppy,0.00,0.04
duiRolla,reppy,0.00,0.04
Rolladui,reppy,0.00,0.04
duiButte,reppy,0.00,0.04
Buttedui,reppy,0.00,0.04
duiHavre,reppy,0.00,0.04
Havredui,reppy,0.00,0.04
duiOmaha,reppy,0.00,0.04
Omahadui,reppy,0.00,0.04
duiGenoa,reppy,0.00,0.04
Genoadui,reppy,0.00,0.04
duiDerry,reppy,0.00,0.04
Derrydui,reppy,0.00,0.04
duiKeene,reppy,0.00,0.04
Keenedui,reppy,0.00,0.04
duiUnion,reppy,0.00,0.04
Uniondui,reppy,0.00,0.04
duiWayne,reppy,0.00,0.04
Waynedui,reppy,0.00,0.04
duiAcoma,reppy,0.00,0.04
Acomadui,reppy,0.00,0.04
duiBelen,reppy,0.00,0.04
Belendui,reppy,0.00,0.04
duiHobbs,reppy,0.00,0.04
Hobbsdui,reppy,0.00,0.04
duiRaton,reppy,0.00,0.04
Ratondui,reppy,0.00,0.04
duiBronx,reppy,0.00,0.04
Bronxdui,reppy,0.00,0.04
